Recipient,Agency,Funding_Agency,State,City,Action_Date,Start_Date,Award_Value,Industry,Award_Description
"GOVERNMENT SCIENTIFIC SOURCE, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,RESTON,3/1/2021,3/1/2021 0:00,855.46,ALL OTHER MISCELLANEOUS MANUFACTURING,4552695680!QUANTIFY PLUS LIQ
"GMS INDUSTRIAL SUPPLY, INC.",GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),VA,VIRGINIA BEACH,3/12/2021,3/12/2021 0:00,5703.87,SOAP AND OTHER DETERGENT MANUFACTURING,"CLEANER, INDUSTRIAL, MULTIPURPOSE GMS INDUSTRIAL SUPPLY P/N GMS1108DR VOC COMPLIANT. 55 GALLON DRUM. USE ON MOST HARD SURFACES."
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,11/9/2020,11/9/2020 0:00,5788.71,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4551667486!TRBO REGION 3
GOVERNMENT SCIENTIFIC SOURCE INCORPORATED,DEPARTMENT OF JUSTICE (DOJ),DEPARTMENT OF JUSTICE (DOJ),VA,RESTON,9/14/2021,9/20/2021 0:00,13824.58,ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,SUPPLIES REQUIRED FOR ALL PROGRAMS.
SUMMIT CONSULTING LLC,DEPARTMENT OF EDUCATION (ED),DEPARTMENT OF EDUCATION (ED),DC,WASHINGTON,5/25/2021,9/30/2019 0:00,14177028.62,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,THE PURPOSE OF THE MODIFICATION IS TO ADD ADDITIONAL/INCREMENTAL FUNDING WHICH FUNDS THE OPTION PERIOD THROUGH FY21.
"VERTICAL JOBS, INC.",DEPARTMENT OF JUSTICE (DOJ),DEPARTMENT OF JUSTICE (DOJ),VA,OAKTON,5/12/2021,2/2/2021 0:00,19744.65,ALL OTHER BUSINESS SUPPORT SERVICES,THE PURPOSE OF THIS MODIFICATION IS TO CHANGE LINES 006 AND 007 FROM NIGHT/WEEKEND TO WEEKDAY.
"DATA CONNECT ENTERPRISE, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),MD,OLNEY,11/23/2020,11/23/2020 0:00,5357.28,ALL OTHER MISCELLANEOUS ELECTRICAL EQUIPMENT AND COMPONENT MANUFACTURING,8507821698!POWER SUPPLY
NATIONAL INDUSTRIES FOR THE BLIND,GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),VA,ALEXANDRIA,11/30/2020,11/30/2020 0:00,108.4,OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING,SHOWER CURTAIN
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,7/28/2021,7/28/2021 0:00,692.11,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4554253007!PTCHR BDSD GRY 3/8IN LG PP INSL MUG STRW
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,12/3/2020,12/3/2020 0:00,38,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4551886107!TRBO REGION 3
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,11/6/2020,11/6/2020 0:00,3.34,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4551647126!TRBO REGION 3
"GOVERNMENT SCIENTIFIC SOURCE, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,RESTON,4/9/2021,4/9/2021 0:00,1076.6,ALL OTHER MISCELLANEOUS MANUFACTURING,4553126128!FF SLID SPFRT 25X75X1MM 144/GR
"PRODUCE SOURCE PARTNERS, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,ASHLAND,11/24/2020,11/24/2020 0:00,1706.34,PERISHABLE PREPARED FOOD MANUFACTURING,"4551810803!TOMATOES, GRAPE, FRESH,"
"OFFICE DEPOT, INC.",GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),MD,COLUMBIA,1/21/2021,1/21/2021 0:00,771.67,OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING,"PAPER, COPYING, XEROGRAPHIC, REAM WRAPPE"
"TTW SOLUTIONS, INC.",ENVIRONMENTAL PROTECTION AGENCY (EPA),ENVIRONMENTAL PROTECTION AGENCY (EPA),DC,WASHINGTON,4/13/2021,4/8/2020 0:00,825944.32,CUSTOM COMPUTER PROGRAMMING SERVICES,CWA SECTION 319 GRANTS REPORTING AND TRACKING SYSTEM & WETLANDS GRANTS DATABASE.
NATIONAL INDUSTRIES FOR THE BLIND,GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),VA,ALEXANDRIA,8/10/2021,8/10/2021 0:00,255.25,OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING,NECK LANYARD WITH KEY RING AND REMOVABLE SWIVEL HOOK WATERPROOF
NATIONAL INDUSTRIES FOR THE BLIND,GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),VA,ALEXANDRIA,9/1/2021,9/1/2021 0:00,100,OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING,ALKALINE BATTERY
"PRODUCE SOURCE PARTNERS, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,ASHLAND,10/29/2020,10/29/2020 0:00,2710.01,PERISHABLE PREPARED FOOD MANUFACTURING,"4551559897!PEARS, FRESH,"
"WINVALE GROUP, LLC, THE",DEPARTMENT OF AGRICULTURE (USDA),DEPARTMENT OF AGRICULTURE (USDA),DC,WASHINGTON,9/13/2021,9/13/2021 0:00,87619.05,PUBLIC RELATIONS AGENCIES,"COMPREHENSIVE WEB-BASED MEDIA CONTACT, MEDIA RELATIONS, RESPONSE STORAGE, IMPRESSIONS EVALUATION, SOCIAL MEDIA MONITORING, AND ANALYTICS SOFTWARE FOR BOTH ENGLISH AND SPANISH LANGUAGES"
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,8/25/2021,8/25/2021 0:00,245.67,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4554578649!MEDC BRIEFS MESH XXL BULK PURPLE
"ABBA TECHNOLOGIES, INC.",NATIONAL ARCHIVES AND RECORDS ADMINISTRATION (NARA),NATIONAL ARCHIVES AND RECORDS ADMINISTRATION (NARA),MD,COLLEGE PARK,11/25/2020,11/25/2020 0:00,12725.27,ALL OTHER INFORMATION SERVICES,STRONGBOX/STRONGLINK MAINTENANCE AND SUPPORT
SUMMIT CONSULTING LLC,DEPARTMENT OF EDUCATION (ED),DEPARTMENT OF EDUCATION (ED),DC,WASHINGTON,8/5/2021,9/30/2019 0:00,13957789.76,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,THE PURPOSE OF MODIFICATION P00015 IS TO DEOBLIGATE UNEXPENDED FUNDS.
"VERIZON WASHINGTON, DC INC",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),DC,WASHINGTON,7/15/2021,8/16/2017 0:00,5238.47,WIRED TELECOMMUNICATIONS CARRIERS,CP000515EBM
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,2/10/2021,2/10/2021 0:00,93.97,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4552484709!TRBO REGION 3
"ARC BALTIMORE, INC., THE",SOCIAL SECURITY ADMINISTRATION (SSA),SOCIAL SECURITY ADMINISTRATION (SSA),MD,BALTIMORE,2/24/2021,2/24/2021 0:00,7744.04,LANDSCAPING SERVICES,TASK ORDER AGAINST THE GROUNDS MAINTENANCE CONTRACT FOR MEANDERING STREAM ASSESSMENT.
"INNOVATIVE PEST MANAGEMENT, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,WALLOPS ISLAND,4/6/2021,10/1/2020 0:00,29052,EXTERMINATING AND PEST CONTROL SERVICES,FUND OPY2 NGIS PORTION OF ANNUAL PEST CONTROL
"LORD/THOMPSON ASSOCIATES, LLC",OFFICE OF PERSONNEL MANAGEMENT (OPM),OFFICE OF PERSONNEL MANAGEMENT (OPM),VA,CHARLOTTESVILLE,4/12/2021,10/4/2010 0:00,6404,EDUCATIONAL SUPPORT SERVICES,DATA CLEANUP DE-OBLIGATION OF UNLIQUIDATED OBLIGATIONS
"PRACTICAL SOLUTIONS, INC.",SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION (SBA),DC,WASHINGTON,5/25/2021,9/15/2017 0:00,99996,COMPUTER SYSTEMS DESIGN SERVICES,THE PURPOSE OF THIS MODIFICATION IS TO ADMINISTRATIVELY CLOSEOUT THIS CONTRACT IAW FAR 4.804 AND AGENCY PROCEDURES. ALL TERMS AND CONDITIONS REMAIN UNCHANGED.
"OFFICE DEPOT, INC.",GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),MD,COLUMBIA,12/15/2020,12/15/2020 0:00,38.56,OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING,"PEN, RETRACTABLE, RECYCLED, BLACK GEL IN"
"INNOVATIVE PEST MANAGEMENT, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,WALLOPS ISLAND,10/1/2020,10/1/2020 0:00,27255,EXTERMINATING AND PEST CONTROL SERVICES,"FUND OPY2 ANNUAL PEST CONTROL, WALLOPS ISLAND, VA"
NATIONAL INDUSTRIES FOR THE BLIND,GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),VA,ALEXANDRIA,10/29/2020,10/29/2020 0:00,60.91,OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING,KIT FIRST AID TY II ESSENTIAL BUSINESS.
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,10/15/2020,10/15/2020 0:00,181.76,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4551413082!TRBO REGION 3
"FLOWERS BAKING CO. OF NORFOLK, LLC",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,NORFOLK,11/13/2020,11/13/2020 0:00,228,COMMERCIAL BAKERIES,"4551711113!BREAD, HONEY WHEAT, FRESH,"
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,5/19/2021,5/19/2021 0:00,2137.55,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4553601286!TRBO REGION 3
NATIONAL INDUSTRIES FOR THE BLIND,GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),VA,ALEXANDRIA,3/15/2021,3/15/2021 0:00,62.68,OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING,PAPER TABLEWARE
"MANUS MEDICAL, LLC",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,RICHMOND,12/10/2020,12/10/2020 0:00,115.8,SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING,4551954682!SCALPEL HANDLE NO.3
"OFFICE DEPOT, INC.",GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),MD,COLUMBIA,1/7/2021,1/7/2021 0:00,72.32,OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING,BATTERY AAA
"HAWKINS, CHRISTOPHER",DEPARTMENT OF VETERANS AFFAIRS (VA),DEPARTMENT OF VETERANS AFFAIRS (VA),VA,FREDERICKSBURG,1/21/2021,1/21/2021 0:00,15970.5,SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,VERTICAL PLATFORM LIFT
DELA TECHNOLOGY CORPORATION,DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),MD,ROCKVILLE,1/27/2021,1/27/2021 0:00,1482,"BOLT, NUT, SCREW, RIVET, AND WASHER MANUFACTURING","8507944735!NUT,PLAIN,HEXAGON"
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,9/14/2021,9/14/2021 0:00,1039.56,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4554768166!PATCH DURA 8X6CM DRGRD BVN PRICRD GLUT
MULTI-MAC JV,DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,VIRGINIA BEACH,7/15/2021,3/3/2021 0:00,109134,ENGINEERING SERVICES,FY21 CHP PLANT Z312 STACK TESTING - NAVSTA NORFOLK
"SIGNET TECHNOLOGIES, INC.",DEPARTMENT OF JUSTICE (DOJ),DEPARTMENT OF JUSTICE (DOJ),MD,BELTSVILLE,7/21/2021,7/21/2021 0:00,39724.45,"AUTOMATIC ENVIRONMENTAL CONTROL MANUFACTURING FOR RESIDENTIAL, COMMERCIAL, AND APPLIANCE USE",CAMERA RECORDING SYSTEM HARDWARE/SOFTWARE
WSP USA BUILDINGS INC.,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),MD,BETHESDA,5/25/2021,8/4/2020 0:00,280981.03,ENGINEERING SERVICES,"REQUISITION NUMBER: 6008427, 6031622 WORK REQUEST NUMBER: C108661 PROVIDE ALL A/E DESIGN SERVICES INCLUDING LABOR AND MATERIALS FOR ROOMS BE23 & BE21 - MICROSCOPE ROOM RENOVATION.  REQUISITION NUMBER: XXXXXXX WORK REQUEST NUMBER: CXXXXXX PROVIDE"
"OLYMPUS AMERICA, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,FORT EUSTIS,9/30/2021,9/22/2011 0:00,71571.73,OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,FY16 DEOBLIGATION
"CHEROKEE NATION MISSION SOLUTIONS, LLC",DEPARTMENT OF STATE (DOS),DEPARTMENT OF STATE (DOS),VA,ARLINGTON,7/13/2021,9/30/2017 0:00,981210.91,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,MANAGEMENT ANALYST IV POSITIONS SUPPORTING THE OFFICE OF LOGISTICS OPERATIONS.
"GOVERNMENT SCIENTIFIC SOURCE, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,RESTON,2/2/2021,2/2/2021 0:00,346.52,ALL OTHER MISCELLANEOUS MANUFACTURING,4552402850!ACCUTREND PLUS METER KIT
"BARNES SUPPLY COMPANY, INC.",GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),VA,MARTINSVILLE,8/11/2021,8/11/2021 0:00,192.18,ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS,"CLOTH,CLEANING,LOW-LINT CID A-A-59323A DATED 3/24/05. TYPE II FOR GENERAL USE, REQUIRE LOW-LINT, HIGHLY ABSOREBENT WIPER. FIRST ARTICLE REQUIRED IN ACCORDANCE WITH PARAGRAPH 3.6. U/I BX (2 EACH, FIVE LB BAGS OF CLOTHS PER BOX."
NATIONAL INDUSTRIES FOR THE BLIND,GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),VA,ALEXANDRIA,5/19/2021,5/19/2021 0:00,971.04,OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING,"GLOVES,DISPOSABLE,NITRILE:AMBIDEXTROUS,POWDER- FREE,LATEX-FREE,INDUSTRIAL GRADE,NITRILE GLOVES FOR GENERAL PURPOSE USE. NITRILE SHALL BE SOFT FORMULATION ALLOWS GLOVES TO EASILY CONFORM TO HAND. 4 MILS THICK,MIN. EX-LARGE, 9 1/2 IN, DISPENSER BO"
"ELTHON, DON",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,FALLS CHURCH,4/7/2021,4/7/2021 0:00,715.5,ENGINEERED WOOD MEMBER (EXCEPT TRUSS) MANUFACTURING,"8508115861!WEDGE,WOOD"
MULTI-MAC JV,DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,VIRGINIA BEACH,8/17/2021,3/3/2021 0:00,109134,ENGINEERING SERVICES,FY21 CHP PLANT Z312 STACK TESTING - NAVSTA NORFOLK
NATIONAL INDUSTRIES FOR THE BLIND,GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),VA,ALEXANDRIA,1/27/2021,1/27/2021 0:00,147.6,OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING,"PILLOW, BED POLYESTER FIBERFILL, 50% COTTON/ 50% POLYESTER FABRIC, WHITE, 20"" (50.8 CM)) W BY 26"" (66.0 CM) L. U/I EA"
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,1/20/2021,1/20/2021 0:00,195.97,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4552265079!TRBO REGION 3
DGCI CORPORATION,DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MCLEAN,5/16/2021,5/16/2021 0:00,142.71,PETROLEUM REFINERIES,"4553724417!TURBINE FUEL,AVIATION, JP8"
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,1/20/2021,1/20/2021 0:00,195.97,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4552264498!TRBO REGION 3
"TTW SOLUTIONS, INC.",ENVIRONMENTAL PROTECTION AGENCY (EPA),ENVIRONMENTAL PROTECTION AGENCY (EPA),DC,WASHINGTON,5/12/2021,4/8/2020 0:00,825944.32,CUSTOM COMPUTER PROGRAMMING SERVICES,CWA SECTION 319 GRANTS REPORTING AND TRACKING SYSTEM & WETLANDS GRANTS DATABASE.
NATIONAL INDUSTRIES FOR THE BLIND,GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),VA,ALEXANDRIA,2/23/2021,2/23/2021 0:00,33.06,OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING,"GLOVES,DISPOSABLE,NITRILE:AMBIDEXTROUS,POWDER-FREE, LATEX FREE, INDUSTRIAL GRADE,NITRILE GLOVE FOR GENERAL PURPOSE USE. NIRILE SHALL BE SOFT FORMMULATION ALLOWS GLOVES TO CONFORM TO HAND. 4 MILS THICK MIN. SIZE MIN. SIZE SMALL 9-1/2"" . U/I"
"TETRA TECH, INC.",ENVIRONMENTAL PROTECTION AGENCY (EPA),ENVIRONMENTAL PROTECTION AGENCY (EPA),VA,FAIRFAX,10/8/2020,10/8/2020 0:00,147587,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)","NEW FFP TO DEVELOP ANALYTICS FOR AQUATIC RESEARCH UNDER TETRA TECH, INC. CONTRACT EP-C-17-031"
"B 3 GROUP, INC",DEPARTMENT OF VETERANS AFFAIRS (VA),DEPARTMENT OF VETERANS AFFAIRS (VA),MD,FREDERICK,12/21/2020,11/3/2019 0:00,1865374.28,CUSTOM COMPUTER PROGRAMMING SERVICES,VAAA IT SUPPORT SERVICES MODIFICATION
"DUN & BRADSTREET, INC.",DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),VA,ARLINGTON,9/25/2021,9/25/2020 0:00,19161,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,"OFAM78 C 2368. BUSINESS AND FINANCIAL REPORTING SERVICES, DUNS & BRADSTREET."
"POLITICO, LLC",PENSION BENEFIT GUARANTY CORPORATION (PBGC),PENSION BENEFIT GUARANTY CORPORATION (PBGC),DC,WASHINGTON,7/23/2021,9/16/2020 0:00,39992.4,INTERNET PUBLISHING AND BROADCASTING AND WEB SEARCH PORTALS,WEB BASED SUBSCRIPTION
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,9/9/2021,9/9/2021 0:00,495.39,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4554717824!COVER PRB ECLPS 9.5X2.37-1.73IN PREGEL
"UNITED CAPITAL INVESTMENT GROUP, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MCLEAN,3/11/2021,3/11/2021 0:00,25798.52,PETROLEUM REFINERIES,8508049947!DIESEL FUEL
HUMAN RESOURCES RESEARCH ORGANIZATION,DEPARTMENT OF STATE (DOS),DEPARTMENT OF STATE (DOS),VA,ALEXANDRIA,9/26/2021,12/1/2013 0:00,11829708.38,EDUCATIONAL SUPPORT SERVICES,FOREIGN SERVICE OFFICER TEST (FSOT)
"OFFICE DEPOT, INC.",GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),MD,COLUMBIA,8/25/2021,8/25/2021 0:00,8660.4,OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING,"MONITOR 27"""
SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,OFFICE OF PERSONNEL MANAGEMENT (OPM),OFFICE OF PERSONNEL MANAGEMENT (OPM),DC,WASHINGTON,4/20/2021,4/21/2021 0:00,27738882.92,"HUMAN RESOURCES CONSULTING SERVICES (2007), HUMAN RESOURCES AND EXECUTIVE SEARCH CONSULTING SERVICES (2002)",CENTER FOR DISEASE CONTROL DDNID
"OFFICE DEPOT, INC.",GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),MD,COLUMBIA,2/24/2021,2/24/2021 0:00,138.76,OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING,FLOOR MAT
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,11/4/2020,11/4/2020 0:00,318.08,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4551620633!TRBO REGION 3
MCI COMMUNICATIONS SERVICES INCORPORATED,DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,ASHBURN,10/15/2020,9/6/2020 0:00,510805.47,WIRED TELECOMMUNICATIONS CARRIERS,NXEV005996EBM   MANAGED NETWORK DESIGN AND ENGR
NATIONAL INDUSTRIES FOR THE BLIND,GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),VA,ALEXANDRIA,5/19/2021,5/19/2021 0:00,323.68,OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING,"GLOVES,DISPOSABLE,NITRILE:AMBIDEXTROUS,POWDER- FREE,LATEX-FREE,INDUSTRIAL GRADE,NITRILE GLOVES FOR GENERAL PURPOSE USE. NITRILE SHALL BE SOFT FORMULATION ALLOWS GLOVES TO CONFORM TO HAND. 4 MILS THICK, MIN. MEDIUM, 9 1/2 IN, DISPENSER BOX. U/I B"
"OFFICE DEPOT, INC.",GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),MD,COLUMBIA,11/20/2020,11/20/2020 0:00,1765.9,OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING,HP 87X HIGH YIELD ORIGINAL LASERJET TONE
"PRODUCE SOURCE PARTNERS, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,ASHLAND,10/27/2020,10/27/2020 0:00,6164.87,PERISHABLE PREPARED FOOD MANUFACTURING,"4551529549!TOMATOES, GRAPE, FRESH,"
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,8/18/2021,8/18/2021 0:00,1066.24,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4554465311!CATH ANGIO 90CM 5FR BCNTP RBT CRV SS NYL
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,11/2/2020,11/2/2020 0:00,22.36,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4551588745!TRBO REGION 3
NATIONAL INDUSTRIES FOR THE BLIND,GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),VA,ALEXANDRIA,9/1/2021,9/1/2021 0:00,459,OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING,"FIRST AID KIT,MOTOR VEHICLE: FOR AUTOMOBILE USE, PROVIDED IN METAL CASE. 12-ADHESIVE BANDAGES, 1"" X3"" , 1-ADHESIVE TAPE, 1"" X2.5 YD., 6-GAUZE PADS,3"" X3"" , 2-BANDAGE,GAUSE, 1"" X10YD, 1-TRIANGULAR BANDAGE, 40"" ,"
"INSIGNIA TECHNOLOGY SERVICES, LLC",DEPARTMENT OF VETERANS AFFAIRS (VA),DEPARTMENT OF VETERANS AFFAIRS (VA),VA,NEWPORT NEWS,8/10/2021,9/26/2019 0:00,2494656,COMPUTER SYSTEMS DESIGN SERVICES,TRM SUSTAINMENT SUPPORT - OP2
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,10/8/2020,10/8/2020 0:00,399.43,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4551359095!TRBO REGION 3
